X,Y
0,1.630969097
1,1.731822594
2,1.838912522
3,1.952624522
4,2.073368079
5,2.201578001
6,2.337715981
7,2.482272264
8,2.635767409
9,2.798754163
10,2.971819455
11,3.155586507
12,3.350717079
13,3.557913851
14,3.777922957
15,4.011536665
16,4.259596239
17,4.52299496
18,4.802681349
19,5.099662577
20,5.4150081
21,5.7498535
22,6.105404584
23,6.482941718
24,6.883824446
25,7.309496376
26,7.761490389
27,8.241434151
28,8.751055978
29,9.292191058
30,9.866788063
31,10.47691616
32,11.12477248
33,11.81268999
34,12.54314594
35,13.31877077
36,14.14235756
37,15.01687211
38,15.94546362
39,16.93147602
40,17.97846003
41,19.09018591
42,20.27065708
43,21.52412451
44,22.85510204
45,24.26838262
46,25.76905559
47,27.36252499
48,29.05452904
49,30.85116078
50,32.75889002
51,34.78458665
52,36.93554536
53,39.21951193
54,41.6447111
55,44.21987622
56,46.95428065
57,49.85777122
58,52.94080361
59,56.21448007
60,59.69058939
61,63.38164929
62,67.3009516
63,71.46261003
64,75.88161104
65,80.57386781
66,85.55627754
67,90.84678228
68,96.46443356
69,102.429461
70,108.7633451
71,115.4888948
72,122.6303292
73,130.2133653
74,138.2653101
75,146.8151594
76,155.8937018
77,165.5336299
78,175.769658
79,186.6386466
80,198.1797359
81,210.4344864
82,223.4470283
83,237.2642209
84,251.9358209
85,267.514662
86,284.0568449
87,301.6219392
88,320.2731983
89,340.0777868
90,361.1070227
91,383.4366339
92,407.1470312
93,432.3235975
94,459.0569958
95,487.4434951
96,517.5853175
97,549.591006
98,583.5758159
99,619.662129
100,657.9798951
